DIRECTORIO,P6800,mes
7859175,8,Julio_2024
7859175,40,Julio_2024
7859176,60,Julio_2024
7859177,72,Julio_2024
7859177,15,Julio_2024
7859177,48,Julio_2024
7859177,40,Julio_2024
7859178,50,Julio_2024
7859179,48,Julio_2024
7859179,48,Julio_2024
7859180,48,Julio_2024
7859180,16,Julio_2024
7859180,16,Julio_2024
7859181,36,Julio_2024
7859181,48,Julio_2024
7859182,48,Julio_2024
7859183,72,Julio_2024
7859184,42,Julio_2024
7859185,60,Julio_2024
7859185,48,Julio_2024
7859186,27,Julio_2024
7859187,42,Julio_2024
7859187,36,Julio_2024
7859187,16,Julio_2024
7859188,10,Julio_2024
7859189,48,Julio_2024
7859190,48,Julio_2024
7859190,60,Julio_2024
7859191,72,Julio_2024
7859192,48,Julio_2024
7859193,50,Julio_2024
7859194,50,Julio_2024
7859194,50,Julio_2024
7859194,50,Julio_2024
7859195,48,Julio_2024
7859197,40,Julio_2024
7859198,50,Julio_2024
7859199,48,Julio_2024
7859199,48,Julio_2024
7859199,48,Julio_2024
7859200,60,Julio_2024
7859200,48,Julio_2024
7859200,72,Julio_2024
7859201,12,Julio_2024
7859201,48,Julio_2024
7859202,30,Julio_2024
7859202,48,Julio_2024
7859203,70,Julio_2024
7859203,10,Julio_2024
7859204,72,Julio_2024
7859205,47,Julio_2024
7859205,40,Julio_2024
7859207,15,Julio_2024
7859207,47,Julio_2024
7859208,56,Julio_2024
7859208,56,Julio_2024
7859209,40,Julio_2024
7859209,47,Julio_2024
7859209,47,Julio_2024
7859210,48,Julio_2024
7859210,47,Julio_2024
7859210,48,Julio_2024
7859211,40,Julio_2024
7859212,47,Julio_2024
7859212,47,Julio_2024
7859213,60,Julio_2024
7859214,40,Julio_2024
7859214,40,Julio_2024
7859214,48,Julio_2024
7859216,48,Julio_2024
7859216,45,Julio_2024
7859217,40,Julio_2024
7859217,40,Julio_2024
7859218,48,Julio_2024
7859220,48,Julio_2024
7859221,48,Julio_2024
7859222,48,Julio_2024
7859224,48,Julio_2024
7859225,40,Julio_2024
7859225,40,Julio_2024
7859227,30,Julio_2024
7859227,50,Julio_2024
7859227,72,Julio_2024
7859228,30,Julio_2024
7859228,60,Julio_2024
7859228,48,Julio_2024
7859228,30,Julio_2024
7859230,25,Julio_2024
7859231,48,Julio_2024
7859232,24,Julio_2024
7859232,48,Julio_2024
7859233,48,Julio_2024
7859234,48,Julio_2024
7859234,48,Julio_2024
7859235,48,Julio_2024
7859235,18,Julio_2024
7859235,40,Julio_2024
7859236,47,Julio_2024
7859236,48,Julio_2024
7859237,48,Julio_2024
7859237,48,Julio_2024
7859238,48,Julio_2024
7859238,46,Julio_2024
7859239,40,Julio_2024
7859241,48,Julio_2024
